system:index,AWEINS,AWEIS,B11,B12,B2,B3,B4,B5,B6,B7,B8,EVI,NDBI,NDSI,NDVI,NDWI,landcover,.geo
1_1_1_1_1_0_0,11605.75,8395.0,113,96,3372,3196,2830,2759,2632,2117,1849,0.3796439628482972,0.29170656,0.9317014,-0.20966019,0.26699704,0,
1_1_1_1_1_1_0,14691.75,10575.75,114,111,4207,4007,3646,3507,3201,2640,2300,0.456240254897973,0.293069,0.9446736,-0.22637066,0.27065167,0,
1_1_1_1_1_2_0,24322.75,17572.5,164,142,6786,6565,5711,5398,4779,3975,3563,0.41102181400688864,0.31143105,0.95125574,-0.23161528,0.296406,0,
1_1_1_1_1_3_0,22319.5,15664.75,130,133,6285,6029,5596,5339,4901,4050,3643,0.49231157045626417,0.26611602,0.95778537,-0.21138652,0.24669148,0,
1_1_1_1_1_4_0,21532.75,15615.25,127,133,6057,5798,5187,4863,4413,3610,3142,0.458006718924972,0.31688228,0.9571308,-0.24552767,0.29709172,0,
1_1_1_1_1_5_0,17753.25,12115.0,193,162,5153,4955,4638,4699,4394,3907,3397,0.4180421747625143,0.20538011,0.92501944,-0.15444928,0.18654214,0,
1_1_1_1_1_6_0,25273.75,16191.0,294,294,7225,7166,6999,6796,6261,5719,5623,0.5236319354593196,0.12468867,0.92117965,-0.109016,0.12065056,0,
1_1_1_1_1_7_0,15176.25,10902.25,79,75,4289,4067,3691,3496,3243,2677,2278,0.45624798191798516,0.3062281,0.961891,-0.23672307,0.2819543,0,
1_1_1_1_1_8_0,18831.25,13250.5,143,138,5313,5140,4699,4544,4261,3508,3109,0.46526599168958854,0.26169556,0.9458641,-0.2036373,0.24621166,0,
1_1_1_1_1_9_0,17904.0,13193.25,173,175,5071,4932,4324,3879,3457,2947,2603,0.45363487795877483,0.3216054,0.9322233,-0.2484481,0.3090909,0,
1_1_1_1_1_10_0,18150.75,12924.25,201,189,4958,5048,4390,3934,3417,3050,2870,0.47654878354652624,0.2667348,0.923414,-0.2093664,0.27506948,0,
1_1_1_1_1_11_0,18504.5,13244.0,162,134,5163,5059,4534,3771,2778,2734,2860,0.48339589950909617,0.28704974,0.9379429,-0.22639978,0.27768657,0,
1_1_1_1_1_12_0,12772.0,9731.25,128,135,3856,3527,3031,3207,2751,2535,1811,0.3418516027796458,0.36086112,0.92995894,-0.251962,0.3214687,0,
1_1_1_1_1_13_0,17925.0,12936.75,129,119,4976,4857,4335,4517,3113,3208,2639,0.489042675893887,0.3068943,0.9482551,-0.24318899,0.29589114,0,
